final,org,project,amount,Ocena Organizacyjna,Średnia Ocena Merytoryczna,Ocena Strategiczna
56.80,Babiogórskie Stowarzyszenie Zielona Linia,Pisać o sobie najtrudniej...,0.00,5.00,33.80,18
77.60,Stowarzyszenie Przyjaciół Radia Lublin,Młodzieżowa Akademia Radiowa,30000.00,7.00,49.60,21
79.40,TEATR OGNISKO SPÓŁKA Z O.O.,Sztuka w wydaniu IT - nowe media jako narzędzie poznawania i tworzenia sztuki,97000.00,5.00,44.40,30
35.60,ŚWIATOWID Centrum Kreacji i Kompetencji Sp. z o.o.,Reaktywacja wielowymiarowa ,0.00,2.00,29.60,4
71.20,Fundacja Projekt: Polska,"Otwarta wiedza - prawo autorskie, otwarte licencje, otwarte zasoby edukacyjne w szkole",0.00,6.00,56.20,9
74.60,Muzeum Archeologiczne w Poznaniu,Cyfrowy archeolog,40000.00,6.00,45.60,23
51.40,BURZA Manuel Ferreras-Tascón,Promarte,0.00,3.00,27.40,21
53.60,Fundacja EDM+,Interdyscyplinarny Festiwal MOST - sekcja edukacyjna,0.00,6.00,38.60,9
0,"""Gaudeamus""",Regionalna Akademia Cyfrowego Seniora,0.00,,,nd
74.20,Fundacja YouHaveIt,POCZTÓWKI Z NIGDY NIGDY,25000.00,6.00,45.20,23
77.20,Państwowe Muzeum Etnograficzne, „Podziel się Polską w blogosferze” ,50000.00,6.00,49.20,22
72.40,Stowarzyszenie Bibliotekarzy Polskich - Zarząd Główny,Wsparcie bibliotek w zakresie tworzenia stron internetowych i edukacji informacyjnej,60000.00,6.00,40.40,26
0,YoungFace.TV Bartosz Pawłowski,YoungFace.TV ­- pierwsze kompletne medium młodzieżowe,0.00,,,nd
0,Fundacja Wspierania Poszukiwań Twórczych Faktoria Artystyczna,Internet TV,0.00,,,0
83.00,Fundacja Nowoczesna Polska,Wielki Turniej Edukacji Medialnej - rozwój narzędzi wspierających edukatorów medialnych,100000.00,7.00,56.00,20
80.60,Centrum Spotkań Europejskich Światowid,"eKulturalni.pl, czyli kultura w nowych mediach",25000.00,7.00,45.60,28
84.75,Instytut Kultury Miejskiej,Akademia Nowych Mediów,80000.00,7.00,55.75,22
58.40,Wodzisławskie Centrum Kultury,"Wodzisław Śląski - miasto, w którym żyję. Wielowymiarowy obraz codzienności.",0.00,6.00,32.40,20
68.60,Muzeum Miasta Mysłowice,"Historia i pamięć w wirtualnym świecie.

",0.00,3.00,45.60,20
54.40,Ośrodek Kultury im. C. K. Norwida,NOWOHUCKA KRONIKA FILMOWA 2014,0.00,8.00,36.40,10
81.80,Wojewódzka Biblioteka Publiczna i Centrum Animacji Kultury w Poznaniu,"""Podaj hasło"" - oferta dydaktyczna dla wielkopolskich bibliotekarzy",25000.00,7.00,51.80,23
0,Stowarzyszenie Bibliotekarzy Polskich - Zarząd Główny,"Warsztaty dla bibliotekarzy ""Pomóż mi to powiedzieć - jak rozmawiać z osobami z problemami komunikacyjnymi (ASD i ZA)""",0.00,,,nd
67.80,Europejski Fundusz Rozwoju Wsi Polskiej,Edukacja medialna uczniów z terenów wiejskich – nowe media jako narzędzie promocji lokalnego dziedzictwa kulturowego,0.00,6.00,39.80,22
72.50,Fundacja Nowoczesna Polska,Katalog kompetencji 2.0 - edukacja medialna dla dużych i małych,90000.00,5.00,55.50,12
59.80,Bałucki Ośrodek Kultury,Nowoczesne multimedia-nowe kompetencje,0.00,7.00,34.80,18
0,Fundacja Edukacji i Sztuki Filmowej Macieja Ślesickiego i Bogusława Lindy LATERNA MAGICA,"Studia podyplomowe dla nauczycieli z zakresu praktycznej edukacji filmowej ""stART""",0.00,,,nd
0,GSMA Spółka z ograniczoną odpowiedzialnością ENERGIA-PL Spółka Komandytowa,"Mniej na prąd, więcej na kulturę - warsztaty dla ludzi kulturalnych.",0.00,,,nd
62.20,Stowarzyszenie na Rzecz Postępu Dmokracji ERWIN,Akademia Informacji - media i ja.,0.00,3.00,38.20,21
51.80,Fundacja Patriotyzm i Niepodległość Naszych Ziem,"Turystyczny, Internetowy Przewodnik Regionalny Ziem Nadbużańskich na urządzenia mobilne.",0.00,4.00,34.80,13
